,hours,temp,hum
0,47,14.1,83
1,46,13.6,84
2,45,13.0,85
3,44,12.6,85
4,43,12.5,83
5,42,12.9,81
6,41,15.1,76
7,40,17.3,71
8,39,19.5,66
9,38,21.4,62
10,37,22.8,56
11,36,24.0,51
12,35,25.0,47
13,34,25.7,44
14,33,26.1,43
15,32,26.4,42
16,31,26.4,43
17,30,26.1,45
18,29,25.2,54
19,28,22.6,63
20,27,20.2,67
21,26,19.2,69
22,25,18.5,70
23,24,17.9,72
24,23,14.1,83
25,22,13.6,84
26,21,13.0,85
27,20,12.6,85
28,19,12.5,83
29,18,12.9,81
30,17,15.1,76
31,16,17.3,71
32,15,19.5,66
33,14,21.4,62
34,13,22.8,56
35,12,24.0,51
36,11,25.0,47
37,10,25.7,44
38,9,26.1,43
39,8,26.4,42
40,7,26.4,43
41,6,26.1,45
42,5,25.2,54
43,4,22.6,63
44,3,20.2,67
45,2,19.2,69
46,1,18.5,70
47,0,17.9,72
